customer_id,customer_name,gender,age,city,state,region
1,Customer_1,Male,30,Haryana,City_14,East
2,Customer_2,Male,33,Delhi,City_11,North
3,Customer_3,Female,26,Haryana,City_12,East
4,Customer_4,Male,49,Delhi,City_18,West
5,Customer_5,Male,55,Haryana,City_10,South
6,Customer_6,Male,22,Haryana,City_8,North
7,Customer_7,Male,26,Haryana,City_13,West
8,Customer_8,Female,30,Haryana,City_12,South
9,Customer_9,Female,24,UP,City_20,South
10,Customer_10,Male,49,Haryana,City_13,South
11,Customer_11,Female,23,Delhi,City_8,East
12,Customer_12,Female,37,UP,City_3,East
13,Customer_13,Male,51,Punjab,City_13,South
14,Customer_14,Female,28,Haryana,City_8,West
15,Customer_15,Female,43,UP,City_8,West
16,Customer_16,Male,23,UP,City_4,South
17,Customer_17,Female,58,Punjab,City_3,West
18,Customer_18,Female,53,Delhi,City_9,North
19,Customer_19,Female,41,Haryana,City_4,West
20,Customer_20,Male,49,Haryana,City_1,South
21,Customer_21,Male,60,UP,City_10,South
22,Customer_22,Female,30,Delhi,City_18,East
23,Customer_23,Female,21,Haryana,City_4,East
24,Customer_24,Male,23,Delhi,City_8,North
25,Customer_25,Female,24,UP,City_18,South
26,Customer_26,Female,55,Haryana,City_6,West
27,Customer_27,Male,54,Haryana,City_7,West
28,Customer_28,Female,48,Punjab,City_17,North
29,Customer_29,Male,34,Haryana,City_3,North
30,Customer_30,Male,57,Delhi,City_8,North
31,Customer_31,Male,34,Delhi,City_3,East
32,Customer_32,Male,52,Haryana,City_8,West
33,Customer_33,Male,54,Punjab,City_5,South
34,Customer_34,Female,46,Delhi,City_7,North
35,Customer_35,Female,42,Punjab,City_14,West
36,Customer_36,Male,26,Punjab,City_2,East
37,Customer_37,Male,35,UP,City_7,West
38,Customer_38,Male,47,Haryana,City_6,West
39,Customer_39,Male,24,Delhi,City_15,North
40,Customer_40,Male,25,UP,City_8,West
41,Customer_41,Female,50,Punjab,City_7,North
42,Customer_42,Male,44,Punjab,City_1,East
43,Customer_43,Female,38,Punjab,City_14,South
44,Customer_44,Male,38,Delhi,City_7,North
45,Customer_45,Female,23,Punjab,City_2,South
46,Customer_46,Male,52,UP,City_3,North
47,Customer_47,Male,35,Delhi,City_13,South
48,Customer_48,Male,59,Punjab,City_3,East
49,Customer_49,Female,33,UP,City_11,East
50,Customer_50,Female,28,Punjab,City_10,East
51,Customer_51,Male,20,Delhi,City_15,North
52,Customer_52,Male,52,UP,City_9,East
53,Customer_53,Male,35,Haryana,City_12,South
54,Customer_54,Female,54,Delhi,City_10,East
55,Customer_55,Male,28,Delhi,City_9,North
56,Customer_56,Male,37,UP,City_10,East
57,Customer_57,Male,60,Punjab,City_9,East
58,Customer_58,Male,25,Haryana,City_14,North
59,Customer_59,Male,41,Haryana,City_5,South
60,Customer_60,Female,55,Delhi,City_14,North
61,Customer_61,Male,29,Delhi,City_18,East
62,Customer_62,Male,47,Delhi,City_5,East
63,Customer_63,Female,22,UP,City_12,South
64,Customer_64,Male,42,Punjab,City_18,South
65,Customer_65,Male,30,Punjab,City_6,North
66,Customer_66,Male,41,UP,City_14,East
67,Customer_67,Male,26,Delhi,City_13,West
68,Customer_68,Male,32,Haryana,City_15,East
69,Customer_69,Male,34,UP,City_1,West
70,Customer_70,Female,37,Haryana,City_3,East
71,Customer_71,Female,54,Delhi,City_11,North
72,Customer_72,Female,31,Haryana,City_19,North
73,Customer_73,Male,58,Haryana,City_14,East
74,Customer_74,Female,58,Delhi,City_17,West
75,Customer_75,Male,36,Punjab,City_2,North
76,Customer_76,Male,43,Delhi,City_14,East
77,Customer_77,Female,27,Haryana,City_10,West
78,Customer_78,Female,45,UP,City_10,South
79,Customer_79,Female,44,Haryana,City_6,West
80,Customer_80,Male,39,UP,City_10,West
81,Customer_81,Female,49,Punjab,City_15,South
82,Customer_82,Female,30,Haryana,City_3,East
83,Customer_83,Male,35,UP,City_10,South
84,Customer_84,Male,21,UP,City_2,West
85,Customer_85,Male,49,UP,City_14,West
86,Customer_86,Female,45,UP,City_8,North
87,Customer_87,Male,47,UP,City_8,West
88,Customer_88,Male,55,Delhi,City_8,West
89,Customer_89,Male,49,Haryana,City_17,West
90,Customer_90,Female,55,UP,City_15,West
91,Customer_91,Female,36,Haryana,City_8,West
92,Customer_92,Male,37,Delhi,City_15,East
93,Customer_93,Male,37,Haryana,City_11,North
94,Customer_94,Male,29,Punjab,City_8,South
95,Customer_95,Male,24,Punjab,City_14,East
96,Customer_96,Female,46,UP,City_2,West
97,Customer_97,Female,57,Punjab,City_1,West
98,Customer_98,Male,42,Punjab,City_10,West
99,Customer_99,Male,51,Haryana,City_8,West
100,Customer_100,Female,21,Haryana,City_13,West
101,Customer_101,Male,49,Delhi,City_5,West
102,Customer_102,Male,25,UP,City_14,West
103,Customer_103,Male,23,Punjab,City_9,East
104,Customer_104,Male,49,Haryana,City_11,West
105,Customer_105,Female,46,Delhi,City_9,West
106,Customer_106,Male,54,Haryana,City_2,South
107,Customer_107,Male,22,UP,City_1,South
108,Customer_108,Male,59,UP,City_5,South
109,Customer_109,Female,27,UP,City_19,West
110,Customer_110,Female,43,Delhi,City_6,South
111,Customer_111,Female,26,Delhi,City_19,East
112,Customer_112,Female,45,Delhi,City_7,South
113,Customer_113,Male,39,Delhi,City_20,North
114,Customer_114,Female,54,Haryana,City_14,North
115,Customer_115,Female,20,Punjab,City_14,North
116,Customer_116,Female,43,UP,City_15,West
117,Customer_117,Male,53,Punjab,City_9,West
118,Customer_118,Female,57,Haryana,City_9,South
119,Customer_119,Male,37,UP,City_15,West
120,Customer_120,Female,41,Punjab,City_1,East
121,Customer_121,Male,51,Haryana,City_7,East
122,Customer_122,Female,37,Haryana,City_20,North
123,Customer_123,Male,25,Punjab,City_8,West
124,Customer_124,Male,50,Punjab,City_16,North
125,Customer_125,Male,38,Punjab,City_8,South
126,Customer_126,Female,57,Punjab,City_12,East
127,Customer_127,Female,55,Haryana,City_11,West
128,Customer_128,Female,39,UP,City_9,North
129,Customer_129,Male,40,UP,City_4,South
130,Customer_130,Male,50,Haryana,City_9,North
131,Customer_131,Male,38,Haryana,City_8,South
132,Customer_132,Female,20,UP,City_18,East
133,Customer_133,Male,23,Haryana,City_18,South
134,Customer_134,Female,26,Haryana,City_1,West
135,Customer_135,Female,48,UP,City_11,North
136,Customer_136,Female,50,Delhi,City_4,West
